,date,open,close,high,low,volume,money,factor
0,2022-08-12,6.03,6.0,6.07,5.96,3773723.0,22720312.0,3.283197
1,2022-08-15,5.98,5.9,6.0,5.88,2924980.0,17282785.0,3.283197
2,2022-08-16,5.96,6.18,6.46,5.88,18581072.0,116064330.0,3.283197
3,2022-08-17,6.23,6.21,6.25,6.11,8701520.0,53833466.0,3.283197
4,2022-08-18,6.2,6.18,6.21,6.07,6390552.0,39222935.0,3.283197
5,2022-08-19,6.19,6.22,6.42,6.15,8029736.0,50725077.0,3.283197
6,2022-08-22,6.25,6.51,6.8,6.11,15240656.0,98560720.0,3.283197
7,2022-08-23,6.53,7.16,7.16,6.51,13841583.0,97637066.0,3.283197
8,2022-08-24,6.99,6.91,7.45,6.72,42435534.0,301170463.0,3.283197
9,2022-08-25,6.79,7.15,7.22,6.7,33463017.0,233699025.0,3.283197
10,2022-08-26,6.91,6.71,6.93,6.44,27855577.0,185830562.0,3.283197
11,2022-08-29,6.59,6.7,6.89,6.59,15393898.0,103192561.0,3.283197
12,2022-08-30,6.65,7.37,7.37,6.64,22885957.0,165488018.0,3.283197
13,2022-08-31,7.8,8.11,8.11,7.77,17250981.0,138299160.0,3.283197
14,2022-09-01,8.68,7.31,8.92,7.3,70878048.0,565177001.0,3.283197
15,2022-09-02,7.0,7.67,7.69,7.0,51458892.0,382842056.0,3.283197
16,2022-09-05,7.37,7.58,7.97,7.36,43539875.0,333031237.0,3.283197
17,2022-09-06,7.46,7.36,7.55,7.09,37277847.0,270522305.0,3.283197
18,2022-09-07,7.22,6.86,7.25,6.82,32707243.0,227677775.0,3.283197
19,2022-09-08,6.86,6.59,6.92,6.54,26416451.0,176665568.0,3.283197
20,2022-09-09,6.53,6.39,6.62,6.36,17930360.0,115033547.0,3.283197
21,2022-09-13,6.39,6.44,6.47,6.36,13335222.0,85511502.0,3.283197
22,2022-09-14,6.35,6.27,6.35,6.2,12924242.0,81012219.0,3.283197
23,2022-09-15,6.32,6.16,6.32,6.05,11055534.0,68226222.0,3.283197
24,2022-09-16,6.1,6.03,6.2,6.03,8655103.0,53013371.0,3.283197
25,2022-09-19,6.08,6.09,6.14,6.0,8000466.0,48619500.0,3.283197
