序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301622,N英思特,100.0,347.23,77.64,216522.0,2498168928.0,224.33,149.99,99.83,130.0,22.36,,78.77,63.22,8.03,11593188000.0,2748808400.0,0.0,-0.13,347.23,347.23
2,838670,恒进感应,20.91,29.96,4.82,177229.0,344317344.9,34.99,20.91,15.28,15.6,16.09,3.13,26.85,219.31,6.39,2801940000.0,1380120639.0,0.0,0.0,182.19,41.38
3,300786,国林科技,20.44,20.02,3.41,899106.0,1802307180.23,11.39,20.44,18.5,18.76,17.03,5.46,61.29,-79.84,3.21,3761284567.0,2998577515.0,0.0,0.0,82.83,13.24
4,688165,埃夫特-U,26.02,20.02,4.34,702343.0,1744507639.0,20.53,26.02,21.57,21.57,21.68,1.35,13.46,-96.58,8.0,13576715600.0,13576715600.0,0.0,0.0,246.01,127.05
5,300828,锐新科技,17.75,20.01,2.96,184469.0,310319563.5,21.3,17.75,14.6,14.75,14.79,3.65,14.79,58.62,3.79,2957057700.0,2214206710.0,0.0,0.0,49.03,14.59
6,300109,新开源,17.75,20.01,2.96,844906.0,1434934476.74,21.64,17.75,14.55,14.62,14.79,4.92,18.85,20.73,2.45,8603425089.0,7958008748.0,0.0,0.0,66.04,56.25
7,301288,清研环境,22.2,20.0,3.7,124695.0,268847171.04,20.86,22.2,18.34,18.46,18.5,2.81,26.48,-138.22,2.96,2397822000.0,1045462913.0,0.0,0.0,56.56,17.58
8,300984,金沃股份,38.1,20.0,6.35,82965.0,288314935.22,21.42,38.1,31.3,33.44,31.75,4.96,18.02,102.74,4.42,2926154143.0,1754060830.0,0.03,0.03,92.42,37.0
9,300961,深水海纳,13.04,19.96,2.17,371462.0,460196585.52,20.33,13.04,10.83,10.87,10.87,4.07,24.59,-909.95,2.3,2311731200.0,1969491288.0,0.0,0.0,87.63,16.12
10,920002,万达轴承,97.0,18.06,14.84,26959.0,252460140.74,32.21,106.0,79.54,79.75,82.16,2.06,56.76,52.5,4.7,3152705640.0,460750000.0,-1.4,-1.02,125.11,367.7
11,300474,景嘉微,97.95,15.83,13.39,569051.0,5524656723.36,12.78,101.47,90.66,90.66,84.56,4.58,17.41,1608.13,7.05,51190552893.0,32015105600.0,0.0,-0.39,79.07,38.76
12,300179,四方达,11.68,15.42,1.56,899310.0,1016228791.7,15.22,11.8,10.26,10.3,10.12,2.77,23.91,45.3,4.76,5675415134.0,4392232873.0,0.0,0.0,76.44,34.1
13,300024,机器人,23.0,14.54,2.92,3470630.0,7716929219.24,21.41,24.0,19.7,19.8,20.08,2.14,22.64,-270.83,8.28,36009258850.0,35254210687.0,0.0,-0.04,150.54,93.77
14,688733,壹石通,23.69,13.78,2.87,198478.0,462119948.0,21.76,24.98,20.45,20.82,20.82,3.27,9.94,240.48,2.15,4732674251.0,4732674251.0,0.04,0.42,64.4,-18.79
15,301550,斯菱股份,67.5,13.71,8.14,181034.0,1204393405.64,20.6,71.23,59.0,59.41,59.36,2.63,32.96,40.7,4.37,7425000000.0,3707889750.0,-0.41,0.15,79.05,47.12
16,300245,天玑科技,15.59,13.13,1.81,1147506.0,1803112057.47,22.42,16.54,13.45,13.48,13.78,2.4,36.86,-254.38,3.65,4886802316.0,4852801072.0,0.0,-3.59,173.99,76.76
17,300420,五洋自控,3.95,12.22,0.43,3257624.0,1299581683.02,22.44,4.22,3.43,3.47,3.52,6.24,29.18,-269.82,1.84,4409715066.0,4409638041.0,-0.25,-0.25,82.03,30.79
18,688084,晶品特装,71.6,12.0,7.67,28679.0,199678645.0,11.73,72.5,65.0,65.05,63.93,2.04,7.95,-147.21,3.39,5417189126.0,2583990300.0,-0.08,0.0,105.75,-4.21
19,836422,润普食品,16.0,11.42,1.64,160737.0,277441134.6,36.49,18.66,13.42,14.31,14.36,1.97,24.27,145.74,3.4,1415723360.0,1059563360.0,-0.37,-1.17,216.21,84.12
