,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,002412,6.78,6.93,6.99,6.75,91892,63338988.68,3.54,2.21,0.15,1.85
1,2024-01-03,002412,6.9,6.97,7.07,6.89,91558,63900191.42,2.6,0.58,0.04,1.84
2,2024-01-04,002412,6.93,7.01,7.05,6.87,66877,46551165.8,2.58,0.57,0.04,1.34
3,2024-01-05,002412,7.01,6.87,7.06,6.84,62424,43325129.0,3.14,-2.0,-0.14,1.25
4,2024-01-08,002412,6.84,6.72,6.87,6.72,49651,33725654.0,2.18,-2.18,-0.15,1.0
5,2024-01-09,002412,6.73,6.77,6.84,6.7,59457,40270095.5,2.08,0.74,0.05,1.19
6,2024-01-10,002412,6.78,6.77,6.84,6.69,50492,34160022.26,2.22,0.0,0.0,1.01
7,2024-01-11,002412,6.77,6.75,6.81,6.69,69058,46526225.0,1.77,-0.3,-0.02,1.39
8,2024-01-12,002412,6.75,6.67,6.83,6.67,58772,39662934.96,2.37,-1.19,-0.08,1.18
9,2024-01-15,002412,6.61,6.72,6.78,6.61,57292,38466491.72,2.55,0.75,0.05,1.15
10,2024-01-16,002412,6.73,6.62,6.74,6.5,68913,45522463.73,3.57,-1.49,-0.1,1.38
11,2024-01-17,002412,6.56,6.47,6.67,6.46,54066,35531075.0,3.17,-2.27,-0.15,1.09
12,2024-01-18,002412,6.5,6.33,6.5,6.15,83134,52196269.0,5.41,-2.16,-0.14,1.67
13,2024-01-19,002412,6.34,6.23,6.36,6.2,64796,40681729.92,2.53,-1.58,-0.1,1.3
14,2024-01-22,002412,6.27,5.81,6.27,5.76,69710,41912990.0,8.19,-6.74,-0.42,1.4
15,2024-01-23,002412,5.85,5.74,5.85,5.61,105355,60028670.68,4.13,-1.2,-0.07,2.12
16,2024-01-24,002412,5.76,5.8,5.84,5.52,90421,51563572.0,5.57,1.05,0.06,1.82
17,2024-01-25,002412,5.8,6.0,6.02,5.72,77843,45960150.27,5.17,3.45,0.2,1.56
18,2024-01-26,002412,6.01,6.05,6.19,6.01,80862,49319993.35,3.0,0.83,0.05,1.62
19,2024-01-29,002412,6.05,5.88,6.1,5.85,59565,35379336.0,4.13,-2.81,-0.17,1.2
20,2024-01-30,002412,5.83,5.67,5.88,5.66,67284,38782828.2,3.74,-3.57,-0.21,1.35
21,2024-01-31,002412,5.66,5.32,5.67,5.3,92754,50655995.69,6.53,-6.17,-0.35,1.86
22,2024-02-01,002412,5.32,5.24,5.35,5.12,78386,41068450.77,4.32,-1.5,-0.08,1.57
23,2024-02-02,002412,5.27,4.98,5.34,4.77,102388,51741040.17,10.88,-4.96,-0.26,2.06
24,2024-02-05,002412,4.86,4.49,4.97,4.48,155437,71072054.28,9.84,-9.84,-0.49,3.12
25,2024-02-06,002412,4.43,4.52,4.7,4.08,197259,85858715.82,13.81,0.67,0.03,3.96
26,2024-02-07,002412,4.55,4.27,4.58,4.2,222267,97001073.32,8.41,-5.53,-0.25,4.46
27,2024-02-08,002412,4.33,4.7,4.7,4.28,224469,101415087.5,9.84,10.07,0.43,4.51
28,2024-02-19,002412,4.9,4.9,5.03,4.77,211572,103439524.18,5.53,4.26,0.2,4.25
29,2024-02-20,002412,4.88,5.01,5.11,4.77,143434,71390910.54,6.94,2.24,0.11,2.88
30,2024-02-21,002412,4.97,5.05,5.18,4.93,145041,73425611.3,4.99,0.8,0.04,2.91
31,2024-02-22,002412,5.03,5.14,5.15,5.0,113169,57430827.07,2.97,1.78,0.09,2.27
32,2024-02-23,002412,5.13,5.24,5.26,5.09,121540,62781143.4,3.31,1.95,0.1,2.44
33,2024-02-26,002412,5.23,5.35,5.46,5.19,131749,70154630.88,5.15,2.1,0.11,2.65
34,2024-02-27,002412,5.32,5.42,5.42,5.27,120109,64423253.87,2.8,1.31,0.07,2.41
35,2024-02-28,002412,5.42,5.01,5.56,5.0,218524,115602563.7,10.33,-7.56,-0.41,4.39
36,2024-02-29,002412,4.96,5.17,5.19,4.96,135689,69257340.6,4.59,3.19,0.16,2.73
37,2024-03-01,002412,5.2,5.25,5.3,5.18,104414,54648870.8,2.32,1.55,0.08,2.1
38,2024-03-04,002412,5.29,5.32,5.36,5.22,100034,52939269.07,2.67,1.33,0.07,2.01
39,2024-03-05,002412,5.32,5.17,5.32,5.15,92111,48020454.0,3.2,-2.82,-0.15,1.85
40,2024-03-06,002412,5.15,5.19,5.26,5.1,73195,37960750.0,3.09,0.39,0.02,1.47
41,2024-03-07,002412,5.22,5.14,5.25,5.13,76724,39865885.9,2.31,-0.96,-0.05,1.54
42,2024-03-08,002412,5.15,5.26,5.3,5.12,86420,44877636.54,3.5,2.33,0.12,1.74
43,2024-03-11,002412,5.29,5.33,5.33,5.22,83495,44036739.67,2.09,1.33,0.07,1.68
44,2024-03-12,002412,5.33,5.52,5.55,5.33,183144,100129736.16,4.13,3.56,0.19,3.68
45,2024-03-13,002412,5.5,5.44,5.52,5.37,120269,65283772.0,2.72,-1.45,-0.08,2.42
46,2024-03-14,002412,5.51,5.46,5.58,5.37,102204,55838422.24,3.86,0.37,0.02,2.05
47,2024-03-15,002412,5.43,5.47,5.5,5.4,88479,48133229.82,1.83,0.18,0.01,1.78
48,2024-03-18,002412,5.48,5.57,5.57,5.45,98296,54207152.14,2.19,1.83,0.1,1.97
49,2024-03-19,002412,5.56,5.57,5.66,5.54,93149,52187018.52,2.15,0.0,0.0,1.87
50,2024-03-20,002412,5.57,5.63,5.66,5.55,67930,38076029.28,1.97,1.08,0.06,1.36
51,2024-03-21,002412,5.63,5.66,5.72,5.57,85231,48047079.78,2.66,0.53,0.03,1.71
52,2024-03-22,002412,5.64,5.52,5.65,5.4,109599,60546934.71,4.42,-2.47,-0.14,2.2
53,2024-03-25,002412,5.52,5.36,5.54,5.36,82439,45076485.64,3.26,-2.9,-0.16,1.66
54,2024-03-26,002412,5.38,5.41,5.44,5.35,73968,39879775.0,1.68,0.93,0.05,1.49
55,2024-03-27,002412,5.4,5.33,5.47,5.33,68095,36896732.0,2.59,-1.48,-0.08,1.37
56,2024-03-28,002412,5.35,5.48,5.66,5.31,152397,83565240.3,6.57,2.81,0.15,3.06
57,2024-03-29,002412,5.4,5.51,5.53,5.36,116640,63416439.0,3.1,0.55,0.03,2.34
58,2024-04-01,002412,5.53,5.57,5.57,5.48,84513,46778159.96,1.63,1.09,0.06,1.7
59,2024-04-02,002412,5.58,5.73,5.86,5.51,182300,103457940.9,6.28,2.87,0.16,3.66
60,2024-04-03,002412,5.78,5.68,5.78,5.58,116473,65992751.96,3.49,-0.87,-0.05,2.34
61,2024-04-08,002412,5.65,5.55,5.66,5.53,84445,47116507.54,2.29,-2.29,-0.13,1.7
62,2024-04-09,002412,5.55,5.71,5.71,5.5,87530,49085733.52,3.78,2.88,0.16,1.76
63,2024-04-10,002412,5.73,5.56,5.73,5.52,78786,44052031.47,3.68,-2.63,-0.15,1.58
64,2024-04-11,002412,5.53,5.6,5.62,5.44,67630,37671370.2,3.24,0.72,0.04,1.36
65,2024-04-12,002412,5.58,5.48,5.64,5.46,63912,35324220.11,3.21,-2.14,-0.12,1.28
66,2024-04-15,002412,5.41,5.18,5.48,5.1,104185,54721535.84,6.93,-5.47,-0.3,2.09
67,2024-04-16,002412,5.17,4.83,5.19,4.8,109500,54261758.64,7.53,-6.76,-0.35,2.2
68,2024-04-17,002412,4.95,5.17,5.17,4.93,84022,42707901.97,4.97,7.04,0.34,1.69
69,2024-04-18,002412,5.17,5.09,5.18,5.08,66996,34307382.82,1.93,-1.55,-0.08,1.35
70,2024-04-19,002412,5.1,5.05,5.17,5.01,55880,28317217.4,3.14,-0.79,-0.04,1.12
71,2024-04-22,002412,5.04,5.22,5.56,4.97,172142,91147482.98,11.68,3.37,0.17,3.46
72,2024-04-23,002412,5.19,5.17,5.23,5.06,123554,63681563.73,3.26,-0.96,-0.05,2.48
73,2024-04-24,002412,5.14,5.17,5.24,5.06,96342,49496425.15,3.48,0.0,0.0,1.94
74,2024-04-25,002412,5.15,5.24,5.28,5.14,80899,42315789.36,2.71,1.35,0.07,1.62
75,2024-04-26,002412,5.24,5.23,5.26,5.17,82485,43036053.67,1.72,-0.19,-0.01,1.66
76,2024-04-29,002412,5.38,5.75,5.75,5.38,223532,126150230.27,7.07,9.94,0.52,4.49
77,2024-04-30,002412,5.75,5.77,5.89,5.69,289687,167370540.26,3.48,0.35,0.02,5.82
78,2024-05-06,002412,5.83,6.06,6.07,5.83,208423,124137285.2,4.16,5.03,0.29,4.19
79,2024-05-07,002412,6.06,5.95,6.08,5.91,181960,108514249.66,2.81,-1.82,-0.11,3.65
80,2024-05-08,002412,5.9,5.98,6.04,5.9,135547,81022863.37,2.35,0.5,0.03,2.72
81,2024-05-09,002412,5.95,6.12,6.19,5.95,147225,89463698.6,4.01,2.34,0.14,2.96
82,2024-05-10,002412,6.15,6.09,6.18,6.04,102690,62631814.0,2.29,-0.49,-0.03,2.06
83,2024-05-13,002412,6.05,6.05,6.15,6.01,93830,56916146.0,2.3,-0.66,-0.04,1.88
84,2024-05-14,002412,6.01,6.16,6.4,6.0,189995,117705282.86,6.61,1.82,0.11,3.82
85,2024-05-15,002412,6.11,6.02,6.15,6.01,125631,76129078.0,2.27,-2.27,-0.14,2.52
86,2024-05-16,002412,6.03,6.0,6.1,5.98,86537,52230205.0,1.99,-0.33,-0.02,1.74
87,2024-05-17,002412,6.01,6.03,6.09,5.97,76200,45815061.16,2.0,0.5,0.03,1.53
88,2024-05-20,002412,6.0,6.05,6.06,6.0,62032,37405197.52,1.0,0.33,0.02,1.25
89,2024-05-21,002412,6.05,6.02,6.08,6.01,56884,34350485.0,1.16,-0.5,-0.03,1.14
90,2024-05-22,002412,6.02,5.95,6.05,5.9,84200,50202763.0,2.49,-1.16,-0.07,1.69
91,2024-05-23,002412,5.92,5.77,5.95,5.75,78959,46085855.0,3.36,-3.03,-0.18,1.59
92,2024-05-24,002412,5.74,5.79,5.86,5.73,54349,31584114.1,2.25,0.35,0.02,1.09
93,2024-05-27,002412,5.85,5.92,5.99,5.76,81805,47987078.52,3.97,2.25,0.13,1.64
94,2024-05-28,002412,5.88,5.84,5.93,5.81,66562,39079967.5,2.03,-1.35,-0.08,1.34
95,2024-05-29,002412,5.86,5.85,5.92,5.81,41242,24204751.16,1.88,0.17,0.01,0.83
96,2024-05-30,002412,5.88,5.85,5.9,5.8,47674,27926430.0,1.71,0.0,0.0,0.96
97,2024-05-31,002412,5.86,5.89,5.9,5.84,46106,27061749.82,1.03,0.68,0.04,0.93
98,2024-06-03,002412,5.86,5.71,5.88,5.64,71215,40883009.46,4.07,-3.06,-0.18,1.43
99,2024-06-04,002412,5.67,5.67,5.71,5.55,68547,38577758.7,2.8,-0.7,-0.04,1.38
100,2024-06-05,002412,5.68,5.5,5.68,5.48,65266,36423506.61,3.53,-3.0,-0.17,1.31
101,2024-06-06,002412,5.5,5.26,5.53,5.19,107787,57284512.9,6.18,-4.36,-0.24,2.17
102,2024-06-07,002412,5.35,5.44,5.46,5.29,84191,45280515.31,3.23,3.42,0.18,1.69
103,2024-06-11,002412,5.44,5.48,5.5,5.34,61916,33602923.88,2.94,0.74,0.04,1.24
104,2024-06-12,002412,5.48,5.55,5.57,5.42,47312,26105369.5,2.74,1.28,0.07,0.95
105,2024-06-13,002412,5.55,5.44,5.58,5.4,60724,33163673.0,3.24,-1.98,-0.11,1.22
106,2024-06-14,002412,5.45,5.45,5.49,5.37,58598,31828220.7,2.21,0.18,0.01,1.18
107,2024-06-17,002412,5.4,5.4,5.47,5.38,37629,20369696.0,1.65,-0.92,-0.05,0.76
108,2024-06-18,002412,5.36,5.47,5.48,5.36,34513,18777707.9,2.22,1.3,0.07,0.69
109,2024-06-19,002412,5.47,5.43,5.5,5.42,33139,18071576.5,1.46,-0.73,-0.04,0.67
110,2024-06-20,002412,5.43,5.29,5.49,5.27,48146,25794757.5,4.05,-2.58,-0.14,0.97
111,2024-06-21,002412,5.29,5.34,5.4,5.25,41766,22255186.0,2.84,0.95,0.05,0.84
112,2024-06-24,002412,5.29,5.08,5.29,5.06,65493,33654970.9,4.31,-4.87,-0.26,1.32
113,2024-06-25,002412,5.09,5.11,5.17,5.07,40983,21013656.0,1.97,0.59,0.03,0.82
114,2024-06-26,002412,5.05,5.25,5.27,5.05,41160,21279563.0,4.31,2.74,0.14,0.83
115,2024-06-27,002412,5.26,5.14,5.3,5.14,37712,19727301.0,3.05,-2.1,-0.11,0.76
116,2024-06-28,002412,5.16,5.17,5.26,5.12,40756,21198018.8,2.72,0.58,0.03,0.82
117,2024-07-01,002412,5.17,5.32,5.32,5.16,47814,25093951.2,3.09,2.9,0.15,0.96
118,2024-07-02,002412,5.31,5.38,5.42,5.27,48794,26195271.0,2.82,1.13,0.06,0.98
119,2024-07-03,002412,5.38,5.38,5.47,5.36,52572,28454231.45,2.04,0.0,0.0,1.06
120,2024-07-04,002412,5.38,5.22,5.38,5.21,55258,29155386.0,3.16,-2.97,-0.16,1.11
121,2024-07-05,002412,5.2,5.45,5.46,5.16,91995,49045239.1,5.75,4.41,0.23,1.85
122,2024-07-08,002412,5.47,5.27,5.47,5.24,63279,33708070.0,4.22,-3.3,-0.18,1.27
123,2024-07-09,002412,5.26,5.33,5.38,5.11,74953,39330686.72,5.12,1.14,0.06,1.51
124,2024-07-10,002412,5.33,5.22,5.37,5.2,58614,30941219.0,3.19,-2.06,-0.11,1.18
125,2024-07-11,002412,5.32,5.43,5.45,5.32,82856,44679033.55,2.49,4.02,0.21,1.66
126,2024-07-12,002412,5.39,5.45,5.52,5.39,58696,32086500.4,2.39,0.37,0.02,1.18
127,2024-07-15,002412,5.45,5.38,5.47,5.35,53368,28745839.0,2.2,-1.28,-0.07,1.07
