股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
301622,C英思特,115931880.0,27488084.0,8831690618.400002,2094042239.1200001,电子元件,20241204
838670,恒进感应,134000000.0,66002900.0,2401280000.0,1182771968.0,专用设备,20220705
300786,国林科技,184015879.0,146701444.0,3117228990.26,2485122461.36,环保行业,20190723
688165,埃夫特-U,521780000.0,521780000.0,17568332600.0,17568332600.0,通用设备,20200715
300828,锐新科技,166594800.0,124744040.0,3017031828.0,2259114564.4,有色金属,20200421
300109,新开源,484700005.0,448338521.0,8627660089.0,7980425673.8,化学制品,20100825
301288,清研环境,108010000.0,47092924.0,2089993500.0000002,911248079.4000001,环保行业,20220422
300984,金沃股份,76801946.0,46038342.0,2857032391.2000003,1712626322.4,通用设备,20210618
300961,深水海纳,177280000.0,151034608.0,2201817600.0,1875849831.36,环保行业,20210330
920002,万达轴承,32502120.0,4750000.0,2870587238.3999996,419519999.99999994,通用设备,20240530
300474,景嘉微,522619223.0,326851512.0,48269111436.28,30188005648.32,电子元件,20160331
300179,四方达,485908830.0,376047335.0,6132169434.599999,4745717367.7,通用设备,20110215
300024,机器人,1565619950.0,1532791769.0,35132511678.0,34395847296.36,通用设备,20091030
688733,壹石通,199775190.0,199775190.0,5074289826.0,5074289826.0,非金属材料,20210817
301550,斯菱股份,110000000.0,54931700.0,7672500000.0,3831486075.0,汽车零部件,20230915
300245,天玑科技,313457493.0,311276528.0,4469903850.18,4438803289.28,互联网服务,20110719
300420,五洋自控,1116383561.0,1116364061.0,4744630134.25,4744547259.25,通用设备,20150217
688084,晶品特装,75659066.0,36849250.0,5203830559.4800005,2534491415.0,专用设备,20221208
836422,润普食品,88482710.0,66222710.0,1178589697.2,882086497.2,食品饮料,20230301
688593,新相微,459529412.0,319005488.0,10233720005.24,7104252217.76,半导体,20230601
300370,安控科技,1565376225.0,1324847224.0,6856347865.5,5802830841.12,仪器仪表,20140123
600808,马钢股份,7746937986.0,5967751186.0,21226610081.640003,16351638249.640001,钢铁行业,19940106
002482,广田集团,3750962363.0,3742739801.0,9302386660.24,9281994706.48,装修装饰,20100929
000008,神州高铁,2716377683.0,2686024366.0,9154192791.710001,9051902113.42,交运设备,19920507
688052,纳芯微,142528433.0,93340553.0,19754440813.8,12937000645.8,半导体,20220422
601011,宝泰隆,1915664539.0,1915664539.0,5900246780.12,5900246780.12,煤炭行业,20110309
002526,山东矿机,1782793836.0,1757514368.0,9324011762.28,9191800144.640001,专用设备,20101217
002523,天桥起重,1416640800.0,1411543883.0,5949891360.0,5928484308.6,专用设备,20101210
600841,动力新科,1387821784.0,920144118.0,8160392089.92,5410447413.84,汽车整车,19940311
002195,岩山科技,5681544596.0,5613049012.0,31191679832.04,30815639075.88,互联网服务,20071212
002298,中电兴发,740110901.0,653665416.0,4862528619.570001,4294581783.1200004,软件开发,20090929
002593,日上集团,803858029.0,570468784.0,5482311757.780001,3890597106.88,汽车零部件,20110628
002681,奋达科技,1805405876.0,1480434424.0,15652868944.92,12835366456.08,消费电子,20120605
600172,黄河旋风,1442184476.0,1276255750.0,8826168993.12,7810685190.0,非金属材料,19981126
000510,新金路,648543589.0,567303482.0,2840620919.8199997,2484789251.16,化学原料,19930507
002211,宏达新材,432475779.0,432475779.0,2028311403.5100002,2028311403.5100002,化学制品,20080201
002516,旷达科技,1470838682.0,1454243682.0,8604406289.699999,8507325539.7,汽车零部件,20101207
605006,山东玻纤,610956885.0,600006685.0,4979298612.75,4890054482.75,玻璃玻纤,20200903
002031,巨轮智能,2199395670.0,1982248013.0,14450029551.900002,13023369445.41,专用设备,20040816
