0,1,2,3,4,5,6,7,8
1733151600000,0.42227,0.43757,0.41856,0.43344,126043146.130357,54088135.03832090153,54088135.03832090153,1
1733148000000,0.41934,0.42542,0.41666,0.42218,70741136.08522,29835969.7094722226,29835969.7094722226,1
1733144400000,0.41057,0.42172,0.40988,0.41926,68804942.56372,28769951.34723075473,28769951.34723075473,1
1733140800000,0.40865,0.4151,0.40722,0.41062,51104860.552261,21042272.77530636815,21042272.77530636815,1
1733137200000,0.4053,0.41192,0.40405,0.40869,61144955.424603,24975527.93454963816,24975527.93454963816,1
1733133600000,0.41386,0.41399,0.4035,0.4053,75171059.832944,30732502.30585372213,30732502.30585372213,1
1733130000000,0.40951,0.41519,0.40709,0.41382,77579549.198,31985810.16354003203,31985810.16354003203,1
1733126400000,0.42866,0.42945,0.4,0.40952,256091656.427473,105675372.59834344282,105675372.59834344282,1
1733122800000,0.43739,0.44042,0.4267,0.42867,86855196.836248,37466447.3385171859,37466447.3385171859,1
1733119200000,0.43901,0.43961,0.43124,0.43738,58178956.565033,25296192.6214820835,25296192.6214820835,1
1733115600000,0.43966,0.44272,0.43622,0.43901,50318810.600627,22107558.95510648981,22107558.95510648981,1
1733112000000,0.44202,0.44522,0.43342,0.43967,134987103.276588,59206277.0213143184,59206277.0213143184,1
1733108400000,0.45693,0.4633,0.43941,0.44203,151158231.868398,68329600.67894990007,68329600.67894990007,1
1733104800000,0.45047,0.4604,0.44958,0.45693,108332422.195971,49403857.30473900997,49403857.30473900997,1
1733101200000,0.44631,0.45471,0.44186,0.45047,91974882.72068,41241223.31117855246,41241223.31117855246,1
1733097600000,0.44043,0.45337,0.43812,0.44627,106806113.152292,47711612.68918868224,47711612.68918868224,1
1733094000000,0.44253,0.44668,0.43867,0.44039,48161560.362164,21321830.92586063473,21321830.92586063473,1
1733090400000,0.44936,0.4498,0.44046,0.44249,52359942.204286,23284735.95180699212,23284735.95180699212,1
1733086800000,0.43595,0.44968,0.43579,0.44938,62023079.034495,27506162.40220891412,27506162.40220891412,1
1733083200000,0.43163,0.43829,0.42574,0.43593,39322305.299568,17007257.74005722416,17007257.74005722416,1
1733079600000,0.4336,0.43547,0.42795,0.43163,35650361.222334,15383251.22452567542,15383251.22452567542,1
