时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-09-23 09:35:00,0.491,0.496,0.496,0.491,1.02,0.005,171742,8471230.0,1.02,0.49
2024-09-23 09:40:00,0.495,0.497,0.499,0.495,0.2,0.001,203773,10134968.0,0.81,0.59
2024-09-23 09:45:00,0.497,0.5,0.5,0.497,0.6,0.003,212706,10606139.0,0.6,0.61
2024-09-23 09:50:00,0.5,0.499,0.5,0.498,-0.2,-0.001,160328,8005264.0,0.4,0.46
2024-09-23 09:55:00,0.499,0.496,0.499,0.496,-0.6,-0.003,57372,2854022.0,0.6,0.16
2024-09-23 10:00:00,0.496,0.497,0.497,0.495,0.2,0.001,460677992970,4606779.0,0.4,0.27
2024-09-23 10:05:00,0.497,0.496,0.497,0.495,-0.2,-0.001,151099,7494609.0,0.4,0.43
2024-09-23 10:10:00,0.496,0.495,0.496,0.495,-0.2,-0.001,27124,1342642.0,0.2,0.08
2024-09-23 10:15:00,0.495,0.495,0.496,0.495,0.0,0.0,81667,4042621.0,0.2,0.23
2024-09-23 10:20:00,0.495,0.497,0.497,0.495,0.4,0.002,63229,3136181.0,0.4,0.18
2024-09-23 10:25:00,0.496,0.497,0.498,0.496,0.0,0.0,63368,3148649.0,0.4,0.18
2024-09-23 10:30:00,0.497,0.496,0.498,0.496,-0.2,-0.001,61406,3051827.0,0.4,0.18
2024-09-23 10:35:00,0.496,0.495,0.496,0.495,-0.2,-0.001,32266,1599236.0,0.2,0.09
2024-09-23 10:40:00,0.495,0.496,0.496,0.495,0.2,0.001,39667,1963557.0,0.2,0.11
2024-09-23 10:45:00,0.496,0.496,0.497,0.495,0.0,0.0,110819,5491855.0,0.4,0.32
2024-09-23 10:50:00,0.496,0.497,0.497,0.496,0.2,0.001,110362,5484991.0,0.2,0.32
2024-09-23 10:55:00,0.497,0.497,0.498,0.496,0.0,0.0,42450,2109649.0,0.4,0.12
2024-09-23 11:00:00,0.497,0.498,0.498,0.497,0.2,0.001,367,18276.0,0.2,0.0
2024-09-23 11:05:00,0.498,0.498,0.498,0.497,0.0,0.0,61743,3073456.0,0.2,0.18
2024-09-23 11:10:00,0.498,0.496,0.498,0.496,-0.4,-0.002,33919,1683973.0,0.4,0.1
2024-09-23 11:15:00,0.496,0.497,0.497,0.496,0.2,0.001,124523,6178785.0,0.2,0.36
2024-09-23 11:20:00,0.497,0.497,0.498,0.497,0.0,0.0,4668,232164.0,0.2,0.01
2024-09-23 11:25:00,0.497,0.497,0.498,0.497,0.0,0.0,47785,2374998.0,0.2,0.14
2024-09-23 11:30:00,0.497,0.496,0.497,0.496,-0.2,-0.001,26609,1321578.0,0.2,0.08
2024-09-23 13:05:00,0.496,0.496,0.496,0.495,0.0,0.0,48389,2399970.0,0.2,0.14
2024-09-23 13:10:00,0.496,0.494,0.496,0.494,-0.4,-0.002,44916,2223232.0,0.4,0.13
2024-09-23 13:15:00,0.494,0.494,0.495,0.494,0.0,0.0,27739,1370341.0,0.2,0.08
2024-09-23 13:20:00,0.494,0.495,0.495,0.493,0.2,0.001,72120,3561143.0,0.4,0.21
2024-09-23 13:25:00,0.495,0.494,0.495,0.494,-0.2,-0.001,60155,2971933.0,0.2,0.17
2024-09-23 13:30:00,0.494,0.494,0.495,0.493,0.0,0.0,91497,4518425.0,0.4,0.26
2024-09-23 13:35:00,0.494,0.493,0.494,0.492,-0.2,-0.001,114317,5637414.0,0.4,0.33
2024-09-23 13:40:00,0.493,0.493,0.494,0.493,0.0,0.0,36120,1780724.0,0.2,0.1
2024-09-23 13:45:00,0.493,0.493,0.494,0.492,0.0,0.0,43175,2128475.0,0.41,0.12
2024-09-23 13:50:00,0.493,0.492,0.494,0.492,-0.2,-0.001,93285,4592656.0,0.41,0.27
2024-09-23 13:55:00,0.492,0.492,0.493,0.491,0.0,0.0,71385,3511843.0,0.41,0.2
2024-09-23 14:00:00,0.492,0.492,0.493,0.491,0.0,0.0,110115,5417181.0,0.41,0.32
2024-09-23 14:05:00,0.492,0.493,0.493,0.492,0.2,0.001,12387,609488.0,0.2,0.04
2024-09-23 14:10:00,0.493,0.492,0.493,0.492,-0.2,-0.001,2601,127999.0,0.2,0.01
2024-09-23 14:15:00,0.492,0.492,0.492,0.492,0.0,0.0,43442,2137346.0,0.0,0.12
2024-09-23 14:20:00,0.492,0.491,0.492,0.491,-0.2,-0.001,78489,3858597.0,0.2,0.23
2024-09-23 14:25:00,0.491,0.492,0.492,0.491,0.2,0.001,161606,7942259.0,0.2,0.46
2024-09-23 14:30:00,0.492,0.493,0.493,0.492,0.2,0.001,53856,2650328.0,0.2,0.15
2024-09-23 14:35:00,0.493,0.492,0.493,0.492,-0.2,-0.001,98685,4862940.0,0.2,0.28
2024-09-23 14:40:00,0.492,0.492,0.493,0.491,0.0,0.0,83504,4108290.0,0.41,0.24
2024-09-23 14:45:00,0.492,0.492,0.492,0.491,0.0,0.0,66123,3251132.0,0.2,0.19
2024-09-23 14:50:00,0.492,0.492,0.492,0.492,0.0,0.0,1600,78720.0,0.0,0.0
2024-09-23 14:55:00,0.493,0.492,0.493,0.492,0.0,0.0,5960,293553.0,0.2,0.02
2024-09-23 15:00:00,0.492,0.493,0.493,0.491,0.2,0.001,44647,2196633.0,0.41,0.13
2024-09-24 09:35:00,0.503,0.506,0.508,0.503,2.64,0.013,236585,11969010.0,1.01,0.68
2024-09-24 09:40:00,0.506,0.505,0.507,0.505,-0.2,-0.001,195649,9903205.0,0.4,0.56
2024-09-24 09:45:00,0.505,0.506,0.506,0.504,0.2,0.001,178161,8998475.0,0.4,0.51
2024-09-24 09:50:00,0.506,0.503,0.507,0.502,-0.59,-0.003,142373,7183719.0,0.99,0.41
2024-09-24 09:55:00,0.503,0.502,0.504,0.502,-0.2,-0.001,106172,5334590.0,0.4,0.3
2024-09-24 10:00:00,0.502,0.501,0.502,0.501,-0.2,-0.001,61793,3101733.0,0.2,0.18
2024-09-24 10:05:00,0.501,0.501,0.501,0.5,0.0,0.0,39540,1980150.0,0.2,0.11
2024-09-24 10:10:00,0.501,0.5,0.501,0.5,-0.2,-0.001,35412,1774001.0,0.2,0.1
2024-09-24 10:15:00,0.501,0.502,0.503,0.501,0.4,0.002,68284,3424992.0,0.4,0.2
2024-09-24 10:20:00,0.502,0.502,0.502,0.501,0.0,0.0,65796,3298253.0,0.2,0.19
2024-09-24 10:25:00,0.502,0.501,0.502,0.501,-0.2,-0.001,83899,4203347.0,0.2,0.24
2024-09-24 10:30:00,0.501,0.5,0.501,0.5,-0.2,-0.001,47518,2379532.0,0.2,0.14
2024-09-24 10:35:00,0.5,0.502,0.502,0.5,0.4,0.002,98478,4939288.0,0.4,0.28
2024-09-24 10:40:00,0.502,0.503,0.503,0.501,0.2,0.001,31167,1565227.0,0.4,0.09
2024-09-24 10:45:00,0.503,0.504,0.505,0.503,0.2,0.001,56875,2864383.0,0.4,0.16
2024-09-24 10:50:00,0.504,0.506,0.506,0.504,0.4,0.002,80222,4054385.0,0.4,0.23
2024-09-24 10:55:00,0.506,0.506,0.507,0.505,0.0,0.0,80561,4076869.0,0.4,0.23
2024-09-24 11:00:00,0.506,0.508,0.508,0.506,0.4,0.002,147395,7468358.0,0.4,0.42
2024-09-24 11:05:00,0.507,0.507,0.509,0.507,-0.2,-0.001,64578,3279340.0,0.39,0.19
2024-09-24 11:10:00,0.508,0.508,0.508,0.507,0.2,0.001,49765,2527674.0,0.2,0.14
2024-09-24 11:15:00,0.508,0.508,0.509,0.507,0.0,0.0,58371,2965246.0,0.39,0.17
2024-09-24 11:20:00,0.508,0.51,0.51,0.508,0.39,0.002,106347,5411501.0,0.39,0.31
2024-09-24 11:25:00,0.51,0.511,0.511,0.509,0.2,0.001,90599,4620794.0,0.39,0.26
2024-09-24 11:30:00,0.511,0.511,0.512,0.51,0.0,0.0,54934,2807041.0,0.39,0.16
2024-09-24 13:05:00,0.511,0.513,0.515,0.511,0.39,0.002,183628,9420824.0,0.78,0.53
2024-09-24 13:10:00,0.513,0.516,0.516,0.513,0.58,0.003,96055,4940810.0,0.58,0.28
2024-09-24 13:15:00,0.516,0.513,0.516,0.513,-0.58,-0.003,103332,5318422.0,0.58,0.3
2024-09-24 13:20:00,0.513,0.513,0.514,0.512,0.0,0.0,84611,4340484.0,0.39,0.24
2024-09-24 13:25:00,0.513,0.514,0.514,0.513,0.19,0.001,112992,5803634.0,0.19,0.32
2024-09-24 13:30:00,0.514,0.514,0.515,0.514,0.0,0.0,22642,1163960.0,0.19,0.07
2024-09-24 13:35:00,0.513,0.515,0.515,0.513,0.19,0.001,35117,1805114.0,0.39,0.1
2024-09-24 13:40:00,0.515,0.515,0.516,0.514,0.0,0.0,65324,3364282.0,0.39,0.19
2024-09-24 13:45:00,0.515,0.515,0.516,0.515,0.0,0.0,15302,789218.0,0.19,0.04
2024-09-24 13:50:00,0.516,0.515,0.516,0.514,0.0,0.0,65760,3386534.0,0.39,0.19
2024-09-24 13:55:00,0.515,0.515,0.516,0.514,0.0,0.0,63420,3266123.0,0.39,0.18
2024-09-24 14:00:00,0.515,0.515,0.515,0.515,0.0,0.0,97313,5011631.0,0.0,0.28
2024-09-24 14:05:00,0.515,0.515,0.517,0.515,0.0,0.0,95762,4941229.0,0.39,0.27
2024-09-24 14:10:00,0.515,0.514,0.515,0.514,-0.19,-0.001,22037,1134508.0,0.19,0.06
2024-09-24 14:15:00,0.514,0.515,0.515,0.514,0.19,0.001,20426,1051098.0,0.19,0.06
2024-09-24 14:20:00,0.515,0.516,0.516,0.515,0.19,0.001,2823,145418.0,0.19,0.01
2024-09-24 14:25:00,0.516,0.515,0.517,0.515,-0.19,-0.001,36277,1871500.0,0.39,0.1
2024-09-24 14:30:00,0.515,0.516,0.516,0.515,0.19,0.001,18080,932858.0,0.19,0.05
2024-09-24 14:35:00,0.516,0.516,0.517,0.516,0.0,0.0,2243,115822.0,0.19,0.01
2024-09-24 14:40:00,0.516,0.518,0.518,0.516,0.39,0.002,41528,2147220.0,0.39,0.12
2024-09-24 14:45:00,0.518,0.517,0.518,0.517,-0.19,-0.001,6938,359368.0,0.19,0.02
2024-09-24 14:50:00,0.517,0.518,0.518,0.517,0.19,0.001,14366,743569.0,0.19,0.04
