alias,auctionEndTime,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,uly
,,SOL,1,,,,,,,SOL-BTC,SPOT,,1690533300000,0.0001,,1000000,99999999999999,1000000,1000000,1000000,,,0.01,,BTC,normal,,live,,0.0000001,
,,MKR,1,,,,,,,MKR-BTC,SPOT,,1696934700000,0.000001,,1000000,999999999999,1000000,1000000,1000000,,,0.001,,BTC,normal,,live,,0.0001,
,1676392656000,QTUM,1,,,,,,,QTUM-BTC,SPOT,,1676393256000,0.0001,,1000000,99999999999999,1000000,1000000,1000000,,,1,,BTC,normal,,live,,0.0000001,
,,SKL,1,,,,,,,SKL-BTC,SPOT,,1702452300000,0.001,,1000000,999999999999999,1000000,999999,999999,,,10,,BTC,normal,,live,,0.000000001,
,,SLERF,1,,,,,,,SLERF-ETH,SPOT,,1733570299000,1,,1000000,9999999999999999,1000000,1000000,1000000,,,1000,,ETH,normal,,preopen,,0.000000001,
,1645085935000,CRO,1,,,,,,,CRO-OKB,SPOT,,1645086535000,0.000001,,1000000,999999999999,1000000,999999,999999,,,1,,OKB,normal,,live,,0.000001,
,1646038671000,KLAY,1,,,,,,,KLAY-OKB,SPOT,,1646039271000,0.000001,,1000000,999999999999,1000000,1000000,1000000,,,1,,OKB,normal,,live,,0.00001,
,,USDT,1,,,,,,,USDT-AUD,SPOT,,1721829000000,0.0001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,AUD,normal,,live,,0.0001,
,,BTC,1,,,,,,,BTC-AED,SPOT,,1716780000000,0.000000001,999999999.0000000000000000,1000000,999999999,1000000,1000000,1000000,999999999.0000000000000000,999999999.0000000000000000,0.000001,,AED,normal,,live,,1,
,,ETH,1,,,,,,,ETH-AED,SPOT,,1716780180000,0.0000001,99999999999.0000000000000000,1000000,99999999999,1000000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,0.0001,,AED,normal,,live,,1,
,,USDT,1,,,,,,,USDT-AED,SPOT,,1716779100000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,AED,normal,,live,,0.001,
,,BTC,1,,,,,,,BTC-HKD,SPOT,,1715934957000,0.00000001,9999999999.0000000000000000,1000000,9999999999,1000000,1000000,1000000,9999999999.0000000000000000,9999999999.0000000000000000,0.00001,,HKD,normal,,live,,1,
,,ETH,1,,,,,,,ETH-HKD,SPOT,,1715935111000,0.0000001,99999999999.0000000000000000,1000000,99999999999,1000000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,0.00001,,HKD,normal,,live,,1,
,,AVAX,1,,,,,,,AVAX-HKD,SPOT,,1715846483000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.01,,HKD,normal,,live,,0.1,
,,AXS,1,,,,,,,AXS-HKD,SPOT,,1715935404000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.01,,HKD,normal,,live,,0.01,
,,LINK,1,,,,,,,LINK-HKD,SPOT,,1716194400000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.01,,HKD,normal,,live,,0.1,
,,USDT,1,,,,,,,USDT-HKD,SPOT,,1715685946000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,HKD,normal,,live,,0.0001,
,,BTC,1,,,,,,,BTC-BRL,SPOT,,1706179355000,0.00000001,9999999999.0000000000000000,1000000,9999999999,1000000,1000000,1000000,9999999999.0000000000000000,9999999999.0000000000000000,0.00001,,BRL,normal,,live,,1,
,,ETH,1,,,,,,,ETH-BRL,SPOT,,1706179613000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.0001,,BRL,normal,,live,,0.1,
,,SOL,1,,,,,,,SOL-BRL,SPOT,,1714995488000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.01,,BRL,normal,,live,,0.1,
,,USDT,1,,,,,,,USDT-BRL,SPOT,,1706155200000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,BRL,normal,,live,,0.001,
,,BTC,1,,,,,,,BTC-EUR,SPOT,,1704877800000,0.00000001,9999999999.0000000000000000,1000000,9999999999,1000000,1000000,1000000,9999999999.0000000000000000,9999999999.0000000000000000,0.00001,,EUR,normal,,live,,0.1,
,,ETH,1,,,,,,,ETH-EUR,SPOT,,1704878100000,0.0000001,99999999999.0000000000000000,1000000,99999999999,1000000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,0.0001,,EUR,normal,,live,,0.1,
,,XRP,1,,,,,,,XRP-EUR,SPOT,,1710340200000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,10,,EUR,normal,,live,,0.0001,
