,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
0,560850,信创50ETF,1.459,1.4063,-3.75,0.133,10.03,167149,23162253.0,1.38,1.459,1.34,1.326,8.97,26.89,1.46,100.0,94777.0,72372.0,-3525699.0,-15.22,1187343.0,5.13,-4713042.0,-20.35,2258002.0,9.75,1267697.0,5.47,-87,1.459,,62164000.0,90697276,90697276,2024-11-11,2024-11-11 16:11:56+08:00
1,159555,2000增强ETF,1.191,1.1119,-7.11,0.108,9.97,57979,6385234.3,1.077,1.191,1.065,1.083,11.63,16.82,0.75,100.0,37063.0,20916.0,184228.0,2.89,-1432400.0,-22.43,1616628.0,25.32,-72394.0,-1.13,-111834.0,-1.75,-2216,1.191,,34462705.0,41045082,41045082,2024-11-11,2024-11-11 15:34:45+08:00
2,588160,科创材料ETF,0.716,0.6992,-2.4,0.064,9.82,608432,41976959.0,0.664,0.721,0.652,0.652,10.58,24.94,2.51,-7.38,383242.0,225190.0,-2012965.0,-4.8,-1065500.0,-2.54,-947465.0,-2.26,1402134.0,3.34,610831.0,1.46,1220,0.712,0.714,243996000.0,174701136,174701136,2024-11-11,2024-11-11 16:11:46+08:00
3,516700,大数据产业ETF,1.032,1.0112,-2.06,0.077,8.06,162246,16161745.0,0.955,1.048,0.95,0.955,10.26,28.16,2.02,28.14,99607.0,62639.0,-1611148.0,-9.97,-245603.0,-1.52,-1365545.0,-8.45,714877.0,4.42,896271.0,5.55,-1,1.041,1.048,57622000.0,59465904,59465904,2024-11-11,2024-11-11 16:11:54+08:00
4,159558,半导体材料设备ETF,1.473,1.4695,-0.24,0.108,7.91,638958,93251494.985,1.397,1.496,1.369,1.365,9.3,97.03,8.89,88.5,336910.0,302048.0,-18126029.0,-19.44,-20569101.0,-22.06,2443072.0,2.62,2374994.0,2.55,15751035.0,16.89,-8582,1.473,1.474,65854641.0,97003886,97003886,2024-11-11,2024-11-11 15:35:00+08:00
5,562590,半导体材料ETF,1.336,1.3252,-0.81,0.096,7.74,764123,100477948.0,1.32,1.358,1.264,1.24,7.58,45.85,3.39,35.23,421287.0,342836.0,-34225914.0,-34.06,-33725043.0,-33.56,-500871.0,-0.5,17811832.0,17.73,16414082.0,16.34,-5,1.338,1.34,166663000.0,222661768,222661768,2024-11-11,2024-11-11 16:11:47+08:00
6,588010,科创新材料ETF,0.693,0.6883,-0.68,0.049,7.61,1492582,100860692.0,0.644,0.695,0.644,0.644,7.92,18.76,1.64,27.25,861709.0,630873.0,17437578.0,17.29,27073187.0,26.84,-9635609.0,-9.55,-12970933.0,-12.86,-4466644.0,-4.43,-160,0.693,0.694,795425808.0,551230085,551230085,2024-11-11,2024-11-11 16:11:50+08:00
7,159516,半导体设备ETF,1.27,1.2684,-0.13,0.089,7.54,4920391,617206056.163,1.208,1.299,1.195,1.181,8.81,56.39,3.57,92.13,2754483.0,2165908.0,-157004419.0,-25.44,-189277575.0,-30.67,32273156.0,5.23,101386946.0,16.43,55617466.0,9.01,-120314,1.27,1.271,872590000.0,1108189300,1108189300,2024-11-11,2024-11-11 15:34:51+08:00
8,159599,芯片ETF基金,1.609,1.5952,-0.87,0.108,7.2,448143,70449680.7,1.546,1.609,1.517,1.501,6.13,10.26,1.7,84.69,248370.0,199773.0,-5030561.0,-7.14,-13482964.0,-19.14,8452403.0,12.0,2208861.0,3.14,2821700.0,4.01,-6784,1.609,1.61,436822064.0,702846701,702846701,2024-11-11,2024-11-11 15:34:54+08:00
9,159327,半导体设备ETF基金,1.498,1.498,0.0,0.099,7.08,405297,60107143.68,1.417,1.525,1.4,1.399,8.93,56.67,2.99,42.33,220466.0,184830.0,-13129200.0,-21.84,-8962642.0,-14.91,-4166558.0,-6.93,6918664.0,11.51,6210536.0,10.33,-6191,1.498,1.499,71524697.0,107143996,107143996,2024-11-11,2024-11-11 15:34:54+08:00
10,516000,数据ETF,1.038,1.0312,-0.66,0.068,7.01,311773,31781044.0,0.975,1.045,0.975,0.97,7.22,17.83,1.63,4.33,192383.0,119390.0,-5661104.0,-17.81,-5077111.0,-15.98,-583993.0,-1.84,3664471.0,11.53,1996633.0,6.28,6,1.037,1.038,174855000.0,181499490,181499490,2024-11-11,2024-11-11 16:12:02+08:00
11,562570,信创ETF,1.384,1.3701,-1.01,0.09,6.96,249163,33777305.0,1.311,1.399,1.296,1.294,7.96,45.9,2.36,7.81,107889.0,141274.0,-3495021.0,-10.35,404572.0,1.2,-3899593.0,-11.55,665540.0,1.97,2829482.0,8.38,-10,1.385,1.387,54281000.0,75124904,75124904,2024-11-11,2024-11-11 16:11:53+08:00
12,159582,半导体产业ETF,1.675,1.6712,-0.23,0.107,6.82,319881,52994406.049,1.61,1.69,1.595,1.568,6.06,38.72,1.69,-80.36,200812.0,119069.0,-7114283.0,-13.42,-9670896.0,-18.25,2556613.0,4.82,3049074.0,5.75,4065208.0,7.67,3001,1.674,1.675,82621621.0,138391215,138391215,2024-11-11,2024-11-11 15:34:48+08:00
13,515400,大数据ETF,0.97,0.9637,-0.65,0.061,6.71,2192842,207051566.0,0.913,0.975,0.91,0.909,7.15,19.19,2.16,-33.27,971575.0,1221267.0,-1885950.0,-0.91,-9713585.0,-4.69,7827635.0,3.78,2575280.0,1.24,-689330.0,-0.33,1009,0.969,0.97,1142631408.0,1108352466,1108352466,2024-11-11,2024-11-11 16:11:45+08:00
14,588200,科创芯片ETF,1.58,1.5765,-0.22,0.099,6.68,51402041,7979458689.0,1.502,1.58,1.493,1.481,5.87,27.11,1.26,-13.08,26594624.0,24807417.0,552398272.0,6.92,694061776.0,8.7,-141663504.0,-1.78,-264740032.0,-3.32,-287658256.0,-3.6,1158,1.579,1.58,18963894784.0,29962953759,29962953759,2024-11-11,2024-11-11 16:11:53+08:00
15,159539,信创50ETF,1.286,1.2685,-1.38,0.08,6.63,155754,19470729.8,1.239,1.286,1.206,1.206,6.63,24.89,1.41,80.4,89595.0,66159.0,-2126802.0,-10.92,-266358.0,-1.37,-1860444.0,-9.56,1229600.0,6.32,897201.0,4.61,-314,1.286,1.287,62565182.0,80458824,80458824,2024-11-11,2024-11-11 15:34:24+08:00
16,159813,半导体ETF,0.872,0.87,-0.23,0.053,6.47,9098616,777445695.743,0.827,0.872,0.821,0.819,6.23,13.41,1.23,65.7,5082909.0,4015707.0,60357204.0,7.76,125768827.0,16.18,-65411623.0,-8.41,-38455122.0,-4.95,-21902075.0,-2.82,-60931,0.872,0.873,6785862400.0,5917272013,5917272013,2024-11-11,2024-11-11 15:34:33+08:00
